file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0004-median-of-two-sorted-arrays\Code\1.java,Solution,class,2,14,1,3,1,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,36,4,1,5,0,9,0,18,14,17,10,3,0,0,0,22,1,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0034-find-first-and-last-position-of-element-in-sorted-array\Code\1.java,Solution,class,0,9,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,3,2,1,0,2,0,13,11,8,7,2,0,0,0,10,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0035-search-insert-position\Code\1.java,Solution1,class,1,3,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,1,1,0,1,2,0,0,0,5,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0035-search-insert-position\Code\2.java,Solution2,class,1,4,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,0,0,1,0,5,5,5,3,2,0,0,0,7,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0036-valid-sudoku\Code\1.java,Solution,class,1,8,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,4,3,1,0,0,0,15,10,4,7,3,0,0,0,15,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,class,1,7,1,5,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,30,2,0,0,0,0,0,0,3,0,2,2,0,0,0,13,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0215-Kth-Largest-Element-in-an-Array\Code\1.java,Solution,class,1,4,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,1,2,0,2,2,0,0,0,7,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0290-Word-Pattern\Code\1.java,Solution,class,3,6,1,9,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,4,1,1,0,0,1,1,5,0,5,3,0,0,0,11,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0394-Decode-String\Code\1.java,Solution,class,3,7,1,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,1,2,2,0,1,0,5,13,4,9,3,0,0,0,14,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0771-Jewels-Stones\Code\1.java,Solution,class,2,4,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,1,2,0,2,2,0,0,0,12,0,0
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0946--validate-stack-sequences\Code\1.java,Solution,class,1,6,1,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,1,0,0,0,1,3,0,3,2,0,0,0,12,0,0
