file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0004-median-of-two-sorted-arrays\Code\1.java,Solution,isOdd/1[int],false,51,0,2,0,3,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,3,2,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0004-median-of-two-sorted-arrays\Code\1.java,Solution,"findMedianSortedArrays/2[int[],int[]]",false,2,2,12,3,31,3,10,2,3,1,1,1,4,0,8,0,16,14,17,3,0,0,0,20,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0034-find-first-and-last-position-of-element-in-sorted-array\Code\1.java,Solution,"searchRange/2[int[],int]",false,2,0,9,0,34,3,7,2,0,0,0,2,1,0,2,0,13,11,8,2,0,0,0,9,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0035-search-insert-position\Code\1.java,Solution1,"searchInsert/2[int[],int]",false,2,1,3,0,9,1,1,2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,4,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0035-search-insert-position\Code\2.java,Solution2,"searchInsert/2[int[],int]",false,4,1,4,0,17,2,3,2,0,0,0,1,0,0,1,0,5,5,5,2,0,0,0,6,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0036-valid-sudoku\Code\1.java,Solution,isValidSudoku/1[char[][]],false,2,1,8,2,31,4,7,1,2,0,0,3,1,0,0,0,15,10,4,3,0,0,0,14,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,push/1[int],false,12,0,3,4,12,0,0,1,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,pop/0,false,25,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,getMin/0,false,34,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,top/0,false,30,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0155-min-stack\Code\1.java,MinStack,MinStack/0,true,7,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,true
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0215-Kth-Largest-Element-in-an-Array\Code\1.java,Solution,"findKthLargest/2[int[],int]",false,2,1,4,4,13,1,2,2,4,0,0,1,0,0,0,0,1,2,0,2,0,0,0,6,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0290-Word-Pattern\Code\1.java,Solution,"wordPattern/2[String,String]",false,2,3,6,9,24,4,5,2,9,0,0,1,1,0,0,1,1,5,0,3,0,0,0,10,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0394-Decode-String\Code\1.java,Solution,decodeString/1[String],false,2,3,7,6,30,1,9,1,6,0,0,2,2,0,1,0,5,13,4,3,0,0,0,13,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0771-Jewels-Stones\Code\1.java,Solution,"numJewelsInStones/2[String,String]",false,3,2,4,3,7,1,2,2,3,0,0,2,0,0,0,0,1,2,0,2,0,0,0,11,1,0,false
C:\Users\willi\Summer-Work21\TestsQuestionMark\topRepos\LeetCodeAnimation\0946--validate-stack-sequences\Code\1.java,Solution,"validateStackSequences/2[int[],int[]]",false,2,1,6,4,16,2,3,2,4,0,0,2,1,0,0,0,1,3,0,2,0,0,0,11,1,0,false
